label_uri,literal,lang,query_terms,aat,wikidata,pwn,odwn,nmvw
l_01,Aboriginal,en,aboriginal_aboriginals,300379660,Q103817,native.n.01_native.a.03,None,None
l_07,Allochtoon,en,allochtoon_allochtoons,None,Q2008347,None,None,None
l_100,Baboo,en,baboo_baboos,None,None,None,None,None
l_10,Barbarian,en,barbarian_barbarians,None,Q134313,savage.n.01_peasant.n.03_barbarian.s.01,None,None
l_21,Batavia,en,batavia_batavias,None,Q1199713,None,None,None
l_11,Berber,en,berber_berbers,300016593,Q45315,berber.n.01,None,None
l_14,Black,en,black_blacks_blackest_blacker,300435249,Q817393,black.n.05_black.a.02,None,None
l_17,Bombay,en,bombay_bombays,None,Q1156,mumbai.n.01,None,None
l_22,Burma,en,burma,None,Q836,myanmar.n.01,None,None
l_24,Bush Negro,en,bush negro_bush negros_bush negroes,None,None,None,None,None
l_19,Calcutta,en,calcutta_calcuttas,None,Q1348,kolkata.n.01,None,None
l_26,Caucasian,en,caucasian_caucasians,300244536,Q7129609,white.n.01_caucasian.s.02,None,None
l_27,Colored,en,colored_coloreds,None,Q5149038,colored.s.02,None,None
l_32,Coolie,en,coolie_coolies,None,Q548135,coolie.n.01,None,None
l_33,Descent,en,descent,None,Q89659343,origin.n.02_descent.n.04_lineage.n.01,None,None
l_107,Developing nations,en,developing nations_developing nation,300379994,None,None,None,None
l_34,Disabled,en,disabled_disableds,300025921,Q15978181,disabled.n.01_disable.v.02_disabled.s.01,None,None
l_38,Discover,en,discover,None,None,discover.v.07,None,None
l_39,Dwarf,en,dwarf_dwarves_dwarfs_dwarfer_dwarfest,300236748,None,dwarf.n.01,None,None
l_43,Eskimo,en,eskimo_eskimoes_eskimos,300017447,Q131242,eskimo.n.01,None,None
l_45,ethnic groups,en,ethnic groups_ethnic group,300191997,Q41710,None,None,None
l_44,Ethnicity,en,ethnicity_ethnicities,300250435,Q5404323,ethnicity.n.01,None,None
l_46,Exotic,en,exotic_exotics,None,None,alien.s.02_exotic.s.02,None,None
l_105,First World,en,first world,300449024,Q876830,None,None,None
l_99,Footmen,en,footmen_footman,None,Q4382663,footman.n.01,None,None
l_51,full blood,en,full blood,None,None,None,None,None
l_47,Gay,en,gay_gayer_gayest_gays,300055188,Q592,homosexual.n.01_gay.s.06,None,None
l_48,Gypsy,en,gypsy_gypsys_gypsies,300404070,Q8060,gypsy.n.02_gypsy.n.03,None,None
l_50,Half-blood,en,half-blood_half-bloods,None,None,None,None,None
l_52,half-breed,en,half-breed_half-breeds,None,Q17144151,half-breed.n.01,None,None
l_119,Handicap,en,handicap_handicaps,300025921,Q12131,disability.n.01_disable.v.02,None,None
l_56,Headhunter,en,headhunter_headhunters,None,None,headhunter.n.02,None,None
l_57,Hermaphrodite,en,hermaphrodite_hermaphrodites,300386060,Q303479,hermaphrodite.n.01,None,None
l_121,homo,en,homo_homos,None,None,homosexual.n.01,None,None
l_59,Homosexual,en,homosexual_homosexuals,300435115,Q592,homosexual.n.01_homosexual.a.01,None,None
l_60,Hottentot,en,hottentot_hottentots,300016575,Q1631241,None,None,None
l_134,immigrant,en,immigrant_immigrants,300025844,Q12547146,immigrant.n.01,None,None
l_63,Indian,en,indian_indians,300017437,Q49297,indian.a.02,None,None
l_64,Indigenous,en,indigenous,300379660,Q103817,autochthonal.s.01,None,None
l_66,Indo,en,indo_indos,300386794,Q475027,None,None,None
l_116,Inuit,en,inuit_inuits,300017455,Q189975,eskimo.n.01,None,None
l_74,Kaffir,en,kaffir_kaffirs,None,Q1285250,kaffir.n.02,None,None
l_120,lilliputian,en,lilliputian_lilliputians,None,Q2419953,lilliputian.n.01,None,None
l_108,low-income countries,en,low-income countries_low-income country,None,Q25450947,None,None,None
l_20,Madras,en,madras,None,Q1352,chennai.n.01,None,None
l_25,Maroon,en,maroon_maroons,300443390,Q445485,None,None,None
