label_uri,lit_form,lang,total_hits,aat_total,aat_pref,aat_alt,wd_total,wd_pref,wd_aliases,nmvw_total,nmvw_pref,nmvw_alt,pwn_total,odwn_total
l_01,Aboriginal,en,4,1,0,1,1,0,1,0,0,0,2,0
l_07,Allochtoon,en,1,0,0,0,1,1,0,0,0,0,0,0
l_100,Baboo,en,0,0,0,0,0,0,0,0,0,0,0,0
l_10,Barbarian,en,4,0,0,0,1,1,0,0,0,0,3,0
l_21,Batavia,en,1,0,0,0,1,1,0,0,0,0,0,0
l_11,Berber,en,5,2,1,1,2,1,1,0,0,0,1,0
l_14,Black,en,8,1,1,0,5,1,4,0,0,0,2,0
l_17,Bombay,en,2,0,0,0,1,0,1,0,0,0,1,0
l_22,Burma,en,3,0,0,0,2,0,2,0,0,0,1,0
l_24,Bush Negro,en,0,0,0,0,0,0,0,0,0,0,0,0
l_19,Calcutta,en,2,0,0,0,1,0,1,0,0,0,1,0
l_26,Caucasian,en,4,1,1,0,1,1,0,0,0,0,2,0
l_27,Colored,en,2,0,0,0,1,1,0,0,0,0,1,0
l_32,Coolie,en,2,0,0,0,1,1,0,0,0,0,1,0
l_33,Descent,en,4,0,0,0,1,1,0,0,0,0,3,0
l_107,Developing nations,en,1,1,0,1,0,0,0,0,0,0,0,0
l_34,Disabled,en,7,2,0,2,3,0,3,0,0,0,2,0
l_38,Discover,en,1,0,0,0,0,0,0,0,0,0,1,0
l_39,Dwarf,en,6,5,1,4,0,0,0,0,0,0,1,0
l_43,Eskimo,en,5,2,1,1,2,1,1,0,0,0,1,0
l_45,ethnic groups,en,4,2,1,1,2,1,1,0,0,0,0,0
l_44,Ethnicity,en,4,1,1,0,2,1,1,0,0,0,1,0
l_46,Exotic,en,2,0,0,0,0,0,0,0,0,0,2,0
l_105,First World,en,2,1,0,1,1,1,0,0,0,0,0,0
l_99,Footmen,en,2,0,0,0,1,1,0,0,0,0,1,0
l_51,full blood,en,0,0,0,0,0,0,0,0,0,0,0,0
l_47,Gay,en,6,1,0,1,3,1,2,0,0,0,2,0
l_48,Gypsy,en,5,1,0,1,2,0,2,0,0,0,2,0
l_50,Half-blood,en,0,0,0,0,0,0,0,0,0,0,0,0
l_52,half-breed,en,2,0,0,0,1,1,0,0,0,0,1,0
l_119,Handicap,en,4,0,0,0,2,0,2,0,0,0,2,0
l_56,Headhunter,en,1,0,0,0,0,0,0,0,0,0,1,0
l_57,Hermaphrodite,en,4,2,1,1,1,1,0,0,0,0,1,0
l_121,homo,en,1,0,0,0,0,0,0,0,0,0,1,0
l_59,Homosexual,en,7,2,1,1,3,0,3,0,0,0,2,0
l_60,Hottentot,en,2,1,0,1,1,1,0,0,0,0,0,0
l_134,immigrant,en,6,4,1,3,1,1,0,0,0,0,1,0
l_63,Indian,en,8,3,0,3,4,0,4,0,0,0,1,0
l_64,Indigenous,en,9,5,1,4,3,1,2,0,0,0,1,0
l_66,Indo,en,5,1,1,0,4,1,3,0,0,0,0,0
l_116,Inuit,en,4,1,1,0,2,1,1,0,0,0,1,0
l_74,Kaffir,en,3,0,0,0,2,1,1,0,0,0,1,0
l_120,lilliputian,en,2,0,0,0,1,0,1,0,0,0,1,0
l_108,low-income countries,en,1,0,0,0,1,1,0,0,0,0,0,0
l_20,Madras,en,2,0,0,0,1,0,1,0,0,0,1,0
l_25,Maroon,en,3,2,1,1,1,1,0,0,0,0,0,0
l_76,Medicine Man,en,2,1,0,1,1,1,0,0,0,0,0,0
l_54,mestizo,en,4,0,0,0,3,1,2,0,0,0,1,0
l_117,Métis,en,4,2,1,1,2,1,1,0,0,0,0,0
l_79,Mohammedan,en,4,1,0,1,1,1,0,0,0,0,2,0
l_81,Mongoloid,en,6,0,0,0,1,1,0,0,0,0,5,0
l_82,Moor,en,3,1,0,1,1,1,0,0,0,0,1,0
l_83,Mulatto,en,2,0,0,0,1,1,0,0,0,0,1,0
l_84,Native,en,9,5,1,4,0,0,0,0,0,0,4,0
l_85,Negro,en,4,1,0,1,1,1,0,0,0,0,2,0
l_86,Oriental,en,2,1,0,1,0,0,0,0,0,0,1,0
l_98,Page,en,4,0,0,0,2,1,1,0,0,0,2,0
l_90,Primitive,en,9,2,1,1,3,1,2,0,0,0,4,0
l_91,Primitivism,en,5,2,1,1,1,1,0,0,0,0,2,0
l_92,Pygmy,en,5,2,1,1,1,1,0,0,0,0,2,0
l_93,Queer,en,4,1,0,1,1,1,0,0,0,0,2,0
